cluster,latitude,longitude,urban_rural,state,wealth_index
37.0,11.7222690708,4.49290197245,R,Sokoto,-0.908286
38.0,12.1141906343,5.93668078923,U,Zamfara,-0.595379
39.0,12.5540148093,6.08008047909,U,Zamfara,0.08176833333333335
40.0,13.0613489505,6.51710749041,U,Zamfara,-0.1734270588235294
41.0,12.5959098948,6.58440723617,U,Zamfara,-0.329102
42.0,12.1708648692,6.72509495127,U,Zamfara,-0.326288275862069
43.0,12.1779933183,6.64072671271,U,Zamfara,0.314457
44.0,12.1850329139,6.65276193366,U,Zamfara,0.4730896666666667
46.0,12.2063781301,5.28888112246,R,Zamfara,-1.1440403333333333
47.0,12.1226693368,4.97302401453,R,Zamfara,-1.1197436666666667
49.0,11.8271937371,5.3555383888,R,Zamfara,-1.0786503333333333
50.0,12.1232749717,5.85130250295,R,Zamfara,-1.0956323333333333
51.0,12.595994839,6.0068278083,R,Zamfara,-0.5822173333333333
52.0,12.5212136601,5.98358532065,R,Zamfara,-1.0053176666666668
53.0,12.4007263686,6.13418748191,R,Zamfara,-0.6229623333333334
55.0,13.0913221279,6.49623171301,R,Zamfara,-0.7893846666666666
57.0,12.7532944165,6.76940264161,R,Zamfara,-0.6381246153846154
60.0,12.6281196289,6.60551199893,R,Zamfara,-0.477364
61.0,12.5640331648,6.65227748636,R,Zamfara,-1.0173589655172413
62.0,12.3688464563,6.68437275655,R,Zamfara,-0.9269369230769231
63.0,12.0194858012,6.87725414491,R,Zamfara,-0.8326746666666666
64.0,11.8433667126,6.97631679982,R,Zamfara,-0.6760775
66.0,12.1283597257,6.68854732502,R,Zamfara,-0.3584286666666667
67.0,12.3837978837,6.47711601668,R,Zamfara,-1.0803703571428571
68.0,12.2038368737,6.72093454322,R,Zamfara,-0.974816
69.0,12.2409697072,6.57702031216,R,Zamfara,-1.144925
73.0,12.8317638793,8.7497313257,U,Katsina,-0.2581762068965517
74.0,12.985119327,7.94830363178,U,Katsina,-0.0026978571428571407
75.0,12.984868776,7.57909610127,U,Katsina,0.2548062068965517
76.0,12.9687017544,7.60556981105,U,Katsina,-0.290217
77.0,12.9904348535,7.59800044038,U,Katsina,0.4789809090909091
78.0,13.0876722925,7.22835635768,U,Katsina,0.6759868965517242
79.0,12.6506294225,8.05379177957,U,Katsina,-0.5838289999999999
80.0,12.23447686,7.69276160106,U,Katsina,-0.04132793103448276
81.0,11.7955819869,7.59169224617,U,Katsina,-0.30658586206896554
82.0,11.1680653095,7.13733816401,U,Katsina,0.26274931034482757
83.0,11.5274568256,7.31936544472,U,Katsina,0.57184
84.0,12.8141882464,8.92253408936,R,Katsina,-1.3998366666666666
85.0,12.8412896338,8.28910412389,R,Katsina,-0.8390079310344828
86.0,12.9387460544,8.2900149685,R,Katsina,-1.1287310344827588
87.0,13.308941102,7.99271806307,R,Katsina,-0.631105
88.0,12.996537085,7.95332083918,R,Katsina,-0.5257985714285714
89.0,13.0479839515,7.62228260843,R,Katsina,-0.8653528
90.0,13.0766721121,7.19610299726,R,Katsina,-0.06265433333333334
91.0,12.7019579849,7.23013139933,R,Katsina,0.07038285714285714
92.0,13.0113509309,7.72582907185,R,Katsina,-0.03152433333333334
93.0,12.993836282,7.87986064579,R,Katsina,-0.7477983333333333
94.0,12.6877148519,8.02544732225,R,Katsina,-1.2852332142857144
95.0,12.5335626854,7.97572041093,R,Katsina,-0.710348
96.0,12.6423590841,7.8180277146,R,Katsina,-1.211651
97.0,12.6985645752,7.51028601203,R,Katsina,-0.9806906896551724
99.0,12.3156881802,7.46014718081,R,Katsina,-0.7247693103448276
100.0,12.2702901726,7.85534048401,R,Katsina,-0.902691
101.0,12.1388175924,7.47856260973,R,Katsina,-0.7771324999999999
102.0,12.000162703,7.48104935322,R,Katsina,-0.9057096666666666
103.0,12.1675637942,7.83627208543,R,Katsina,-1.1771576666666665
104.0,11.9699104049,7.78079389822,R,Katsina,-1.0689356666666667
105.0,11.7550167207,7.6607946769,R,Katsina,-0.95831
106.0,11.4420009029,7.56175268416,R,Katsina,-0.962665
107.0,11.6034495199,7.34713021159,R,Katsina,-0.7930978571428572
108.0,11.5947236386,7.25816416812,R,Katsina,-0.22754724137931034
109.0,11.4298460906,7.25329568745,R,Katsina,-0.7522763333333333
110.0,11.3508741406,7.31170796813,R,Katsina,-0.9836275
111.0,11.319842409,7.70863410405,R,Katsina,-0.419553
112.0,12.6285747134,9.37638182178,U,Jigawa,-0.48509233333333335
113.0,12.5560451844,9.87692930428,U,Jigawa,-0.2041724137931034
114.0,12.4578134323,10.049722145,U,Jigawa,-0.3461355172413793
115.0,12.0820931948,9.61346686733,U,Jigawa,0.2828944827586207
116.0,11.2734657077,9.89084133337,U,Jigawa,-0.7607333333333333
117.0,12.6794720005,8.30062246577,R,Jigawa,-0.9466073333333332
118.0,12.6481613584,8.39537351253,R,Jigawa,-1.0648196666666667
119.0,12.8123343656,9.02831945853,R,Jigawa,-0.38761966666666664
120.0,12.4861586926,8.91131295434,R,Jigawa,-1.3249923333333333
121.0,12.3180557625,8.9822675909,R,Jigawa,-1.5002286666666664
122.0,12.7485540609,9.18641896612,R,Jigawa,-1.425443
123.0,12.5554416776,9.40270091572,R,Jigawa,-1.336512
124.0,12.8002825295,9.62640788395,R,Jigawa,-1.359513
125.0,12.4832977426,9.77150619877,R,Jigawa,-0.32656142857142856
126.0,12.5919008246,10.1406331212,R,Jigawa,-1.2586473333333332
127.0,12.8991058546,10.1349161046,R,Jigawa,-1.557535185185185
128.0,12.7361990345,10.4449665182,R,Jigawa,-1.5810993333333334
129.0,12.7211238668,10.2958768004,R,Jigawa,-1.1371644827586207
130.0,12.4452134474,10.3588986707,R,Jigawa,-1.2698616666666667
131.0,12.3231290917,10.1180047296,R,Jigawa,-1.1501653333333333
132.0,12.0863572869,10.1116295155,R,Jigawa,-0.6762993103448276
133.0,12.1564297614,9.78509691112,R,Jigawa,-0.9566516666666666
134.0,12.2203691781,9.4401532482,R,Jigawa,-1.1339593333333333
135.0,12.1070093285,8.98280368705,R,Jigawa,-1.1366276666666666
136.0,12.1401216408,9.11252530756,R,Jigawa,-1.226198
137.0,12.0056309659,9.44816383407,R,Jigawa,-1.464523
138.0,11.9151843503,9.73764577925,R,Jigawa,-1.508668
139.0,12.022214839,9.32804477874,R,Jigawa,-1.513924
140.0,11.7370062425,9.32683492685,R,Jigawa,0.3707589655172414
141.0,11.6568738111,9.28375635858,R,Jigawa,-1.0741041379310345
142.0,11.5979786398,9.58313826886,R,Jigawa,-1.5665063333333333
143.0,11.3667433806,9.59250573885,R,Jigawa,-1.383656
144.0,11.4380437924,9.23859091737,R,Jigawa,-1.1162379999999998
145.0,11.376014917,9.68905695139,R,Jigawa,-1.305895
146.0,11.1869942735,9.94386426977,R,Jigawa,-1.043428
147.0,11.0099518625,10.038385362,R,Jigawa,-1.4409093333333334
148.0,12.8781211237,10.4689399526,U,Yobe,-0.08522172413793104
149.0,12.8989563926,11.9333514392,U,Yobe,-1.1872893333333332
150.0,12.86681528,11.0390471905,U,Yobe,-0.28023862068965516
151.0,12.8785959857,11.046309662,U,Yobe,-0.7665596551724138
